DE: Transport Equipment / final energy consumption,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,,,,,,,,,,,,,,,,
Detailed split of energy consumption (ktoe),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Transport Equipment,"2,913.1","3,002.2","2,982.9","3,235.6","3,352.1","3,315.4","3,200.1","3,131.7","2,966.1","2,557.7","2,950.9","2,895.6","2,997.9","3,109.8","2,866.7","2,878.1"
Lighting,114.3,117.8,117.1,127.0,131.5,130.1,125.6,122.9,116.4,100.4,115.8,113.6,117.6,122.0,112.5,112.9
Air compressors,142.9,147.3,146.3,158.7,164.4,162.6,157.0,153.6,145.5,125.5,144.8,142.0,147.1,152.5,140.6,141.2
Motor drives,196.5,202.5,201.2,218.2,226.1,223.6,215.8,211.2,200.1,172.5,199.0,195.3,202.2,209.8,193.4,194.1
Fans and pumps,125.0,128.9,128.0,138.9,143.9,142.3,137.4,134.4,127.3,109.8,126.7,124.3,128.7,133.5,123.0,123.5
Low enthalpy heat,96.5,99.4,98.8,107.1,111.0,109.8,106.0,103.7,98.2,84.7,97.7,95.9,99.3,103.0,94.9,95.3
Diesel oil (incl. biofuels),19.3,19.9,19.8,21.4,22.2,22.0,21.2,20.7,19.6,16.9,19.5,19.2,19.9,20.6,19.0,19.1
Natural gas (incl. biogas),28.9,29.8,29.6,32.1,33.3,32.9,31.8,31.1,29.5,25.4,29.3,28.8,29.8,30.9,28.5,28.6
Solar and geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity,48.2,49.7,49.4,53.6,55.5,54.9,53.0,51.8,49.1,42.3,48.9,47.9,49.6,51.5,47.5,47.6
Trans. Eq.: Foundries,169.3,174.5,173.3,188.0,194.8,192.7,186.0,182.0,172.4,148.6,171.5,168.3,174.2,180.7,166.6,167.3
Trans. Eq.: Thermal Foundries,101.6,104.7,104.0,112.8,116.9,115.6,111.6,109.2,103.4,89.2,102.9,101.0,104.5,108.4,100.0,100.4
Solids,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPG,15.1,16.9,15.0,1.2,1.0,1.0,2.1,2.3,1.2,1.0,1.0,1.0,0.8,0.6,0.6,0.6
Diesel oil (incl. biofuels),7.9,6.8,7.3,8.1,7.8,6.9,13.0,6.6,5.2,4.8,8.3,3.2,3.9,3.6,2.5,2.2
Residual fuel oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural gas (incl. biogas),78.6,81.0,81.7,103.6,108.1,107.7,96.4,100.3,97.1,83.4,93.7,96.8,99.8,104.3,96.9,97.6
Trans. Eq.: Electric Foundries,67.7,69.8,69.3,75.2,77.9,77.1,74.4,72.8,68.9,59.5,68.6,67.3,69.7,72.3,66.6,66.9
Trans. Eq.: Connection techniques,169.3,174.5,173.3,188.0,194.8,192.7,186.0,182.0,172.4,148.6,171.5,168.3,174.2,180.7,166.6,167.3
Trans. Eq.: Thermal connection,118.5,122.1,121.3,131.6,136.4,134.9,130.2,127.4,120.7,104.0,120.0,117.8,121.9,126.5,116.6,117.1
Trans. Eq.: Electric connection,50.8,52.3,52.0,56.4,58.4,57.8,55.8,54.6,51.7,44.6,51.4,50.5,52.3,54.2,50.0,50.2
Trans. Eq.: Heat treatment,744.8,767.6,762.7,827.3,857.1,847.7,818.2,800.7,758.4,654.0,754.5,740.4,766.5,795.1,733.0,735.9
Trans. Eq.: Heat treatment - Thermal,473.2,487.6,484.5,525.5,544.5,538.5,519.8,508.7,481.8,415.4,479.3,470.3,486.9,505.1,465.6,467.5
Solids,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPG,70.6,78.7,69.7,5.4,4.5,4.5,9.9,10.6,5.4,4.5,4.5,4.5,3.6,2.7,2.7,2.7
Diesel oil (incl. biofuels),36.6,31.5,34.0,37.5,36.6,32.2,60.6,30.8,24.2,22.2,38.5,14.8,18.2,16.7,11.7,10.1
Residual fuel oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural gas (incl. biogas),366.0,377.4,380.8,482.6,503.4,501.8,449.2,467.3,452.2,388.7,436.3,451.0,465.1,485.7,451.2,454.7
Trans. Eq.: Heat treatment - Electric,271.7,280.0,278.2,301.8,312.6,309.2,298.4,292.1,276.6,238.5,275.2,270.1,279.6,290.0,267.4,268.4
Trans. Eq.: Steam processing,538.9,555.2,562.2,821.4,839.5,779.7,730.5,643.6,617.7,544.4,666.1,595.5,692.3,743.0,543.3,553.6
Solids,17.0,15.7,17.5,25.2,27.2,25.9,25.9,32.0,25.9,14.3,16.3,15.7,11.6,6.1,0.0,3.0
Refinery gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diesel oil (incl. biofuels),40.7,38.2,40.4,27.2,26.7,22.0,40.3,20.4,17.0,13.4,26.2,12.4,10.7,13.8,6.8,9.0
Residual fuel oil,1.0,1.0,1.9,4.8,2.9,2.9,2.9,2.9,2.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0
Other liquids,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.8
Natural gas (incl. biogas),315.4,334.6,339.3,259.9,267.7,240.2,254.5,217.9,207.7,157.3,228.8,199.5,155.9,216.4,121.0,173.5
Derived gases,12.4,11.0,10.6,0.0,0.0,0.0,9.4,8.4,9.0,7.9,8.4,37.2,36.8,31.4,35.9,39.7
Biomass,0.0,0.0,0.0,2.7,4.4,5.1,6.2,3.8,2.9,2.5,5.7,6.0,10.2,6.8,4.8,5.4
Steam distributed,152.4,154.8,152.5,501.6,510.6,483.6,391.3,358.2,352.3,347.1,380.6,323.7,466.2,467.6,373.9,321.0
Trans. Eq.: General machinery,304.7,314.0,312.0,338.4,350.6,346.8,334.7,327.6,310.3,267.5,308.7,302.9,313.6,325.3,299.9,301.1
Trans. Eq.: Product finishing,310.9,320.6,307.9,122.5,138.3,187.4,203.0,270.0,247.6,201.7,194.8,249.2,182.2,164.1,293.0,286.0
,,,,,,,,,,,,,,,,
Market shares of energy uses (%),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Transport Equipment,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Lighting,3.92%,3.92%,3.92%,3.92%,3.92%,3.92%,3.92%,3.92%,3.92%,3.92%,3.92%,3.92%,3.92%,3.92%,3.92%,3.92%
Air compressors,4.91%,4.91%,4.91%,4.91%,4.91%,4.91%,4.91%,4.91%,4.91%,4.91%,4.91%,4.91%,4.91%,4.91%,4.91%,4.91%
Motor drives,6.74%,6.74%,6.74%,6.74%,6.74%,6.74%,6.74%,6.74%,6.74%,6.74%,6.74%,6.74%,6.74%,6.74%,6.74%,6.74%
Fans and pumps,4.29%,4.29%,4.29%,4.29%,4.29%,4.29%,4.29%,4.29%,4.29%,4.29%,4.29%,4.29%,4.29%,4.29%,4.29%,4.29%
Low enthalpy heat,3.31%,3.31%,3.31%,3.31%,3.31%,3.31%,3.31%,3.31%,3.31%,3.31%,3.31%,3.31%,3.31%,3.31%,3.31%,3.31%
Trans. Eq.: Foundries,5.81%,5.81%,5.81%,5.81%,5.81%,5.81%,5.81%,5.81%,5.81%,5.81%,5.81%,5.81%,5.81%,5.81%,5.81%,5.81%
Trans. Eq.: Thermal Foundries,3.49%,3.49%,3.49%,3.49%,3.49%,3.49%,3.49%,3.49%,3.49%,3.49%,3.49%,3.49%,3.49%,3.49%,3.49%,3.49%
Trans. Eq.: Electric Foundries,2.32%,2.32%,2.32%,2.32%,2.32%,2.32%,2.32%,2.32%,2.32%,2.32%,2.32%,2.32%,2.32%,2.32%,2.32%,2.32%
Trans. Eq.: Connection techniques,5.81%,5.81%,5.81%,5.81%,5.81%,5.81%,5.81%,5.81%,5.81%,5.81%,5.81%,5.81%,5.81%,5.81%,5.81%,5.81%
Trans. Eq.: Thermal connection,4.07%,4.07%,4.07%,4.07%,4.07%,4.07%,4.07%,4.07%,4.07%,4.07%,4.07%,4.07%,4.07%,4.07%,4.07%,4.07%
Trans. Eq.: Electric connection,1.74%,1.74%,1.74%,1.74%,1.74%,1.74%,1.74%,1.74%,1.74%,1.74%,1.74%,1.74%,1.74%,1.74%,1.74%,1.74%
Trans. Eq.: Heat treatment,25.57%,25.57%,25.57%,25.57%,25.57%,25.57%,25.57%,25.57%,25.57%,25.57%,25.57%,25.57%,25.57%,25.57%,25.57%,25.57%
Trans. Eq.: Heat treatment - Thermal,16.24%,16.24%,16.24%,16.24%,16.24%,16.24%,16.24%,16.24%,16.24%,16.24%,16.24%,16.24%,16.24%,16.24%,16.24%,16.24%
Trans. Eq.: Heat treatment - Electric,9.33%,9.33%,9.33%,9.33%,9.33%,9.33%,9.33%,9.33%,9.33%,9.33%,9.33%,9.33%,9.33%,9.33%,9.33%,9.33%
Trans. Eq.: Steam processing,18.50%,18.49%,18.85%,25.39%,25.04%,23.52%,22.83%,20.55%,20.83%,21.28%,22.57%,20.57%,23.09%,23.89%,18.95%,19.23%
Trans. Eq.: General machinery,10.46%,10.46%,10.46%,10.46%,10.46%,10.46%,10.46%,10.46%,10.46%,10.46%,10.46%,10.46%,10.46%,10.46%,10.46%,10.46%
Trans. Eq.: Product finishing,10.67%,10.68%,10.32%,3.79%,4.13%,5.65%,6.34%,8.62%,8.35%,7.89%,6.60%,8.61%,6.08%,5.28%,10.22%,9.94%
,,,,,,,,,,,,,,,,
Energy intensity (toe/physical output index),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Transport Equipment,35.20,35.20,35.18,33.90,33.93,33.70,33.49,32.85,32.80,32.70,32.11,30.76,30.49,29.91,29.26,28.41
Lighting,1.38,1.38,1.38,1.33,1.33,1.32,1.31,1.29,1.29,1.28,1.26,1.21,1.20,1.17,1.15,1.12
Air compressors,1.73,1.73,1.73,1.66,1.66,1.65,1.64,1.61,1.61,1.60,1.57,1.51,1.50,1.47,1.44,1.39
Motor drives,2.37,2.37,2.37,2.29,2.29,2.27,2.26,2.22,2.21,2.21,2.17,2.08,2.06,2.02,1.97,1.92
Fans and pumps,1.51,1.51,1.51,1.46,1.46,1.45,1.44,1.41,1.41,1.40,1.38,1.32,1.31,1.28,1.26,1.22
Low enthalpy heat,1.17,1.17,1.16,1.12,1.12,1.12,1.11,1.09,1.09,1.08,1.06,1.02,1.01,0.99,0.97,0.94
Trans. Eq.: Foundries,2.05,2.05,2.04,1.97,1.97,1.96,1.95,1.91,1.91,1.90,1.87,1.79,1.77,1.74,1.70,1.65
Trans. Eq.: Connection techniques,2.05,2.05,2.04,1.97,1.97,1.96,1.95,1.91,1.91,1.90,1.87,1.79,1.77,1.74,1.70,1.65
Trans. Eq.: Heat treatment,9.00,9.00,8.99,8.67,8.68,8.62,8.56,8.40,8.39,8.36,8.21,7.87,7.79,7.65,7.48,7.27
Trans. Eq.: Steam processing,6.51,6.51,6.63,8.61,8.50,7.92,7.65,6.75,6.83,6.96,7.25,6.33,7.04,7.15,5.55,5.47
Trans. Eq.: General machinery,3.68,3.68,3.68,3.55,3.55,3.52,3.50,3.44,3.43,3.42,3.36,3.22,3.19,3.13,3.06,2.97
Trans. Eq.: Product finishing,3.76,3.76,3.63,1.28,1.40,1.91,2.12,2.83,2.74,2.58,2.12,2.65,1.85,1.58,2.99,2.82
