DE - Final energy consumption,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,,,,,,,,,,,,,,,,
Final energy consumption (ktoe),"59,460.8","63,794.9","61,051.4","60,130.2","58,013.5","56,906.1","57,147.7","47,510.0","53,525.6","51,367.4","55,185.7","47,418.3","49,562.4","52,800.0","44,748.5","46,513.7"
Space heating,"48,249.1","52,528.2","49,826.1","48,876.4","46,738.1","45,734.1","45,992.9","36,567.5","42,479.1","40,329.1","43,847.5","36,340.2","38,343.5","41,521.0","33,637.7","35,419.9"
Solids,813.0,778.1,648.3,669.2,537.9,534.2,596.7,611.6,568.3,569.2,850.6,727.4,635.6,583.9,479.0,506.1
Liquified petroleum gas (LPG),128.5,130.9,122.7,104.4,155.3,137.6,165.2,111.5,159.2,159.8,168.2,145.6,143.2,146.5,102.0,88.1
Gas/Diesel oil incl. biofuels (GDO),"16,723.4","19,316.9","16,983.9","16,468.5","14,794.6","14,624.7","15,582.7","9,201.4","13,472.2","11,634.4","11,784.2","9,871.3","10,546.2","11,550.7","9,770.6","9,381.8"
Gases incl. biogas,"19,014.4","20,340.4","20,155.1","20,117.0","19,387.4","18,703.1","18,222.5","16,178.2","17,552.4","17,129.2","18,987.8","15,143.8","16,745.6","17,741.0","13,774.0","15,068.6"
Biomass and wastes,"3,812.2","3,872.0","3,878.2","4,243.8","4,116.4","4,166.3","4,424.8","4,211.2","4,438.8","4,814.8","5,485.5","4,769.4","4,900.5","5,027.0","4,256.1","4,646.8"
Geothermal energy,-,-,-,1.6,3.8,4.0,4.3,4.0,5.8,8.2,14.2,15.9,21.1,21.7,20.3,23.0
Derived heat,"5,263.3","5,386.1","5,278.0","4,467.0","4,814.8","4,691.4","4,220.9","3,751.4","3,844.3","3,652.8","3,921.8","3,341.4","2,891.3","3,810.3","3,079.6","3,455.2"
Advanced electric heating,28.1,36.8,44.3,51.6,60.7,69.2,80.2,76.3,100.8,109.3,137.5,143.6,177.8,214.6,191.5,216.1
Conventional electric heating,"1,782.4","1,976.8","2,011.0","2,134.3","2,153.5","2,170.5","2,138.8","1,790.9","1,916.8","1,770.3","1,913.4","1,588.1","1,663.4","1,810.6","1,426.4","1,466.0"
Electricity in circulation,683.8,690.3,704.5,619.0,713.6,632.9,556.7,631.0,420.5,481.1,584.3,593.7,618.9,614.7,538.1,568.2
Space cooling,28.2,31.2,33.0,34.1,36.2,42.1,52.7,61.1,77.3,92.5,109.2,105.1,105.5,104.7,100.3,102.1
Air conditioning,28.2,31.2,33.0,34.1,36.2,42.1,52.7,61.1,77.3,92.5,109.2,105.1,105.5,104.7,100.3,102.1
Water heating,"7,591.5","7,656.2","7,591.6","7,636.5","7,652.0","7,559.5","7,558.0","7,313.6","7,424.0","7,393.9","7,659.6","7,455.4","7,569.3","7,640.7","7,538.7","7,519.9"
Solids,91.0,81.0,71.0,76.5,64.0,66.0,73.5,93.5,77.0,82.0,120.0,124.7,110.4,94.5,95.2,95.3
Liquified petroleum gas (LPG),147.3,141.4,138.1,135.1,133.9,131.1,124.6,117.2,131.3,154.1,188.9,185.5,156.8,156.8,113.6,56.0
Gas/Diesel oil incl. biofuels (GDO),"2,030.9","2,188.5","2,022.4","2,031.0","1,920.9","1,937.7","2,054.6","1,482.6","1,909.0","1,724.6","1,724.8","1,705.9","1,756.7","1,797.3","1,862.1","1,752.9"
Gases incl. biogas,"2,851.5","2,830.4","2,930.1","2,997.9","3,005.9","2,934.0","2,830.2","3,077.1","2,910.3","2,969.2","3,141.4","2,915.1","3,084.1","3,040.4","2,859.6","2,949.6"
Biomass and wastes,215.5,228.9,256.2,303.1,322.0,339.3,372.3,448.3,441.8,517.1,593.1,609.4,616.9,607.3,635.4,669.9
Geothermal energy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Derived heat,666.8,639.7,657.7,578.1,651.6,643.8,583.0,638.0,566.3,561.4,589.6,584.0,484.8,596.1,582.9,614.8
Electricity,"1,491.7","1,420.9","1,367.2","1,312.5","1,348.9","1,266.6","1,235.1","1,143.8","1,027.0",960.3,851.5,809.2,820.0,803.2,799.3,748.6
Solar,96.8,125.4,148.8,202.4,204.8,240.9,284.7,313.0,361.4,425.1,450.4,521.7,539.7,545.0,590.7,632.7
Cooking,"3,591.9","3,579.2","3,600.8","3,583.2","3,587.2","3,570.5","3,544.2","3,567.7","3,545.2","3,551.9","3,569.5","3,517.5","3,544.0","3,533.5","3,471.9","3,471.8"
Solids,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Liquified petroleum gas (LPG),586.7,595.6,515.9,449.7,626.4,537.8,576.4,331.9,466.1,420.5,471.9,458.2,425.6,557.5,498.3,443.2
Gases incl. biogas,"1,575.1","1,558.1","1,642.9","1,673.6","1,677.1","1,653.4","1,616.1","1,816.3","1,703.0","1,750.8","1,777.6","1,699.1","1,789.1","1,727.8","1,664.5","1,720.6"
Biomass and wastes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Electricity,"1,430.2","1,425.5","1,442.0","1,459.9","1,283.7","1,379.2","1,351.7","1,419.5","1,376.2","1,380.7","1,320.1","1,360.2","1,329.2","1,248.2","1,309.1","1,307.9"
